cities,lat,lng,temp,humidity,cloudiness,wind
souillac,-20.5167,57.5167,25,88,75,4.63
balikpapan,-1.2675,116.8289,29.32,63,74,3.53
saint anthony,45.0205,-93.218,7.18,81,90,2.06
atuona,-9.8,-139.0333,26.84,77,22,10.68
nome,64.5011,-165.4064,3.15,70,1,1.2
cidreira,-30.1811,-50.2056,20.66,83,1,6.77
punta arenas,-53.15,-70.9167,5.78,93,75,1.03
santa isabel do rio negro,-0.4139,-65.0192,23.21,97,85,0.88
rikitea,-23.1203,-134.9692,26.08,75,100,6.66
tuatapere,-46.1333,167.6833,12.22,75,49,2.68
ribeira grande,38.5167,-28.7,14.71,79,99,12.99
barcelos,41.5388,-8.6151,14.74,88,75,3.09
dzerzhinskoye,56.8344,95.2283,5.34,55,99,5.15
yar-sale,66.8333,70.8333,0.24,99,97,3.55
argelia,2.2556,-77.2488,19.17,98,100,0.48
kodiak,57.79,-152.4072,5,81,90,4.12
hithadhoo,-0.6,73.0833,28.14,69,54,1.42
busselton,-33.65,115.3333,26.11,47,22,1.34
vaini,-21.2,-175.2,27,89,40,1.03
esperance,-33.8667,121.9,25,36,99,4.63
hobart,-42.8794,147.3294,16.47,45,75,7.72
torbay,47.6666,-52.7314,3.08,100,90,5.14
boa vista,2.8197,-60.6733,27,69,75,7.2
narsaq,60.9167,-46.05,2,75,20,1.22
manggar,-2.8833,108.2667,30.32,59,5,4.44
la ronge,55.1001,-105.2842,-4.5,46,64,2.06
ushuaia,-54.8,-68.3,5,93,75,2.57
bakel,14.905,-12.4568,30.3,13,45,4.08
tasiilaq,65.6145,-37.6368,3,70,75,10.8
albany,42.6001,-73.9662,6.22,51,2,3.18
limbang,4.75,115,31.34,70,75,2.06
san cristobal,7.7669,-72.225,21.47,74,39,0.6
antsohihy,-14.8796,47.9875,22.43,86,98,2.08
lebu,-37.6167,-73.65,11.43,88,90,4.56
butaritari,3.0707,172.7902,27.52,76,100,3
bereda,43.2686,-7.5406,12.52,100,97,2.68
qaanaaq,77.484,-69.3632,-8.56,76,100,2.81
mao,39.8885,4.2658,11,93,0,2.06
port alfred,-33.5906,26.891,17.54,75,0,6.05
castro,-24.7911,-50.0119,11.55,92,7,1.28
inhambane,-23.865,35.3833,18.56,85,93,2.43
hermanus,-34.4187,19.2345,12.78,90,98,0.45
arraial do cabo,-22.9661,-42.0278,22.38,83,34,6.5
bredasdorp,-34.5322,20.0403,8,93,97,1.03
cabimas,10.3883,-71.4399,27.21,77,25,5.91
tieli,46.95,128.05,11.22,19,75,5.9
alampur,15.8833,78.15,33.54,38,14,2.67
tual,-5.6667,132.75,28.4,76,100,8.26
prainha,-1.8,-53.48,23.18,93,97,0.94
barrow,71.2906,-156.7887,-3,80,1,1.54
aracoiaba,-4.3711,-38.8142,22.7,94,77,1.06
bengkulu,-3.8004,102.2655,28.66,64,99,1.78
taksimo,56.3444,114.8794,5.29,45,4,1.44
ixtapa,20.7,-105.2,24.22,78,1,1.17
alofi,-19.0595,-169.9187,27,89,22,3.09
mataura,-46.1927,168.8643,12.22,75,75,2.68
ayr,55.4627,-4.6339,6.86,81,0,2.57
cape town,-33.9258,18.4232,14.38,88,0,5.14
ostrovnoy,68.0531,39.5131,0.23,94,100,11.1
victoria,22.2855,114.1577,24.33,78,81,1.34
mackay,-21.15,149.2,22,88,90,6.17
constitucion,-35.3333,-72.4167,12.74,72,0,3.32
kaina,12.6374,8.5873,28,47,0,4.12
east london,-33.0153,27.9116,14,88,20,2.06
necochea,-38.5473,-58.7368,15.56,98,100,1.34
ponta do sol,32.6667,-17.1,13.14,78,25,1.79
toamasina,-18.1667,49.3833,23.15,88,50,3.52
chuy,-33.6971,-53.4616,18.04,90,34,4.09
georgetown,5.4112,100.3354,29.46,79,40,2.57
