,cities,lat,lng,temp,humidity,cloudiness,wind
1,road town,18.4167,-64.6167,25.19,80,19,2.68
2,yellowknife,62.456,-114.3525,-10.21,62,75,3.6
3,east london,-33.0153,27.9116,15,88,20,2.06
4,bredasdorp,-34.5322,20.0403,8,93,97,1.03
5,aklavik,68.2191,-135.0107,1.47,55,77,3.6
6,severo-kurilsk,50.6789,156.125,3.02,88,95,3.01
7,mataura,-46.1927,168.8643,12.22,77,75,2.24
8,aviles,43.5547,-5.9248,14.65,82,0,2.57
9,punta arenas,-53.15,-70.9167,5.78,93,75,1.03
11,albany,42.6001,-73.9662,6.12,52,2,3.18
12,cabo san lucas,22.8909,-109.9124,21.07,56,20,4.43
13,puerto rico,-26.796,-55.024,18.37,81,80,0.35
14,mezen,65.8522,44.24,7.99,80,98,4.6
15,hobart,-42.8794,147.3294,16.3,48,40,6.69
16,port alfred,-33.5906,26.891,17.54,75,0,6.05
17,saint-philippe,-21.3585,55.7679,22.14,78,0,5.14
18,norman wells,65.282,-126.8329,1,55,90,5.14
19,busselton,-33.65,115.3333,25.56,49,22,0.89
20,pacific grove,36.6177,-121.9166,10.99,85,51,2.12
21,cape town,-33.9258,18.4232,14.69,82,0,4.63
22,ushuaia,-54.8,-68.3,5,93,75,2.57
23,nikolskoye,59.7035,30.7861,2,93,75,1
24,rikitea,-23.1203,-134.9692,26.08,75,100,6.66
25,margate,51.3813,1.3862,5.84,78,93,0.89
26,vaini,-21.2,-175.2,27,89,40,1.03
28,saurimo,-9.6608,20.3916,17.25,94,98,1.59
29,dinhata,26.1333,89.4667,32.82,23,20,3.89
30,padang,-0.9492,100.3543,30,66,20,1.54
31,mar del plata,-38.0023,-57.5575,16.45,100,90,1.03
32,lebu,-37.6167,-73.65,11.43,88,90,4.56
33,ribeira grande,38.5167,-28.7,14.71,79,99,12.99
34,mindelo,16.8901,-24.9804,20,68,40,6.69
35,lana,46.6124,11.1559,5.39,64,19,2.06
36,barrow,71.2906,-156.7887,-3,80,1,1.54
37,marion,39.7684,-86.1555,10.95,58,75,3.6
38,iracoubo,5.4802,-53.2011,25.22,89,100,5.5
39,kieta,-6.2167,155.6333,28.45,69,80,1.67
40,placido de castro,-10.3353,-67.1856,24.54,87,85,1.08
41,jamestown,42.097,-79.2353,5.32,53,1,6.69
42,tommot,58.9564,126.2925,-0.47,64,100,5.47
43,broome,42.2506,-75.833,3.67,46,1,2.57
44,marzuq,14.4,46.4667,22.72,35,0,2.07
45,nevsehir,38.9167,34.6667,4,81,0,0.51
46,ancud,-41.8697,-73.8203,7.26,100,40,1.08
47,tabora,-5.0167,32.8,17,94,20,2.57
